,feature,label
0,"[-5.7337915e+02  3.4064041e+01 -3.3337578e+01  3.4899156e+00
 -1.3482152e+01 -6.3272300e+00 -1.7734171e+01 -1.5280939e+01
 -8.3795147e+00 -3.2386610e-01 -1.3351949e+01 -3.0887842e+00
 -7.3971844e+00  5.0230546e+00 -1.0734296e+01 -1.8646252e+00
 -4.7539644e+00  1.1749445e+00  4.3814030e+00  1.3253009e+01
  1.3902202e+01  9.9257574e+00  4.5232000e+00  4.2641349e+00
 -1.7640493e+00 -2.9552758e+00  1.2523726e+00 -2.2750968e-01
  1.2047135e+00 -2.1748116e+00 -4.5056920e+00 -1.3816009e-01
 -1.0911303e+00 -2.8296611e+00 -1.5206894e+00 -2.2169409e+00
 -3.0517766e+00  1.1045349e+00  9.6960783e-01  2.8220093e+00]",6.0
1,"[-5.45244568e+02  3.80734749e+01 -8.02316284e+00  7.23688221e+00
 -1.36888170e+01 -2.15791583e+00 -1.23153734e+01 -7.94858599e+00
 -1.48581381e+01  1.71906364e+00 -1.00028305e+01 -3.44549894e+00
 -5.39587116e+00 -3.42517209e+00 -7.82696056e+00 -3.94481111e+00
 -3.56813192e+00 -5.90613794e+00 -6.85353279e+00 -1.69562113e+00
 -5.14819431e+00  1.99227333e-01 -2.58217144e+00  4.88896668e-01
 -3.80432200e+00 -1.25564718e+00 -1.47705364e+00 -2.27703905e+00
  1.62912822e+00  3.60778475e+00  3.91890383e+00  3.46932745e+00
 -2.81293243e-01  6.84119523e-01  7.36324117e-02  2.64141488e+00
  8.38373482e-01  1.80067611e+00 -6.01248205e-01  1.83966529e+00]",5.0
2,"[-6.9053546e+02  4.3141396e+01 -9.8544159e+00  1.0819540e+01
 -1.4295117e+01 -2.2880003e+00 -1.0151420e+01 -4.9417095e+00
 -6.6154771e+00 -2.9724739e+00 -7.1983962e+00 -4.7352862e+00
 -5.4220462e+00 -2.6128287e+00 -6.8491383e+00 -1.7174374e+00
 -2.7419302e+00  8.2795793e-01 -3.9292654e-01  4.1565428e+00
  8.4196830e-01  1.5024117e+00  2.9427168e-01  1.0089157e+00
 -1.2241673e+00  2.6785558e-01 -6.9342583e-01 -9.9645726e-02
 -1.7598495e+00 -1.1442955e+00 -1.1020921e+00  6.5818256e-01
 -1.4393432e+00  2.3417035e-01  2.3768431e-01  7.5962728e-01
  5.1932198e-01  8.6544412e-01  1.4689205e+00  1.6917721e+00]",8.0
3,"[-5.5361163e+02  4.1233486e+01 -9.9126644e+00  8.5870619e+00
 -5.7376304e+00 -5.8316474e+00 -1.7839375e+01 -1.1084945e+01
 -1.1369494e+01  3.4705830e+00 -1.5050770e+01 -5.6365957e+00
 -4.1292721e-01 -5.0297952e+00 -7.4818292e+00 -3.0811291e+00
 -6.6203027e+00 -2.3461006e+00 -4.8643956e+00 -3.9020116e+00
 -4.5263106e-01  8.3511549e-01  2.0070186e+00  3.9597042e+00
  1.2531248e+00  5.4911065e+00  7.3615658e-01  1.2112083e+00
  3.5194555e-01 -8.6667961e-01  6.2081177e-02  1.5737856e-02
 -6.8599004e-01  2.1532847e-01 -5.0796616e-01  6.8413842e-01
  2.0552489e-01  9.2170924e-01  1.2650327e-01  3.1220457e-01]",6.0
4,"[-5.7615344e+02  4.9947994e+01 -1.3857949e+01  8.2488251e+00
 -1.2159565e+01  1.9361250e-01 -8.7196798e+00 -7.7311563e+00
 -8.6927443e+00  8.3381027e-01 -8.3513889e+00 -8.3575442e-02
 -9.1429167e+00  1.8272485e+00 -7.4067526e+00 -3.2408137e+00
 -4.4390054e+00 -3.7711642e+00 -6.3003440e+00 -1.4537262e+00
 -2.1495848e+00 -1.5126662e+00  2.5688517e-01  1.5293556e-01
  1.1352676e+00  1.3526256e+00  3.4615388e+00  3.8019414e+00
  3.1795571e+00  3.4459746e+00  9.9563897e-01  2.2044463e+00
  7.2414511e-01  1.7230785e+00  1.5406616e+00  1.5851264e+00
  5.1330793e-01  5.3816974e-01 -2.6671705e-01 -1.7574807e+00]",5.0
5,"[-7.1370630e+02  5.7812115e+01 -1.9429134e+01  1.2914974e+01
 -4.5159369e+00 -6.6291609e+00 -1.5438680e+01 -7.2447610e+00
 -9.4910975e+00  3.2182930e+00 -1.1112947e+01 -1.4537975e-01
 -7.6442552e+00 -2.4432392e+00 -6.4213009e+00 -2.9799242e+00
 -3.6077046e+00 -3.5966427e+00 -5.4497447e+00 -4.6106205e+00
 -1.0798497e+00 -1.7186472e+00 -3.5252206e+00 -1.2195336e-01
 -2.2255599e+00  1.1327671e+00  2.4079263e+00  6.7737007e+00
  6.4091773e+00  8.0076094e+00  3.7151494e+00  6.1043649e+00
  6.6895652e+00  8.3637533e+00  6.8667588e+00  6.8858299e+00
  4.6901493e+00  2.3296041e+00  2.8327646e+00  4.5406351e+00]",1.0
6,"[-6.7478369e+02  5.5730408e+01 -7.0554399e+00  1.0943370e+01
 -1.1981667e+00 -4.5262474e-01 -1.0280930e+01 -7.0077152e+00
 -1.3193623e+01 -1.3725547e+00 -1.1429825e+01 -9.8591530e-01
 -1.3097651e+01 -1.0022209e+00 -3.6386483e+00 -7.5876718e+00
 -9.3760462e+00 -3.4465871e+00 -6.2574949e+00 -5.6770949e+00
 -6.5877934e+00 -3.5946145e+00 -7.3420119e+00 -4.0640450e+00
 -2.4397457e+00 -6.9841909e-01 -2.0183427e+00  1.1336710e+00
 -1.6564544e+00  4.2799740e+00  4.2416167e+00  7.0680742e+00
  7.0901117e+00  6.7171001e+00  4.4498653e+00  2.6972618e+00
  3.7566850e+00  3.2059076e+00  1.0034827e+00 -2.1364262e+00]",2.0
7,"[-6.8021271e+02  5.8064831e+01 -3.9765084e-01  1.1512015e+01
 -7.9479861e-01  2.4042563e+00 -7.1477485e+00 -6.4895177e+00
 -8.4006319e+00  3.4079792e+00 -1.1323787e+01  5.3188998e-01
 -9.6532049e+00 -4.4744796e-01 -2.7925284e+00 -7.4569721e+00
 -6.6936345e+00 -1.2130934e+00 -7.7611651e+00 -3.6918457e+00
 -4.6960974e+00 -3.6593561e+00 -7.1662698e+00 -3.2505720e+00
 -4.9346466e+00 -1.1199448e+00 -2.1425867e+00  1.2786472e+00
 -1.3387418e+00  3.2664211e+00  1.6675433e+00  2.8643594e+00
  2.2954993e+00  3.9259841e+00  3.1650369e+00  5.2404628e+00
  4.0879445e+00  6.7344985e+00  3.8666356e+00  5.1577201e+00]",1.0
8,"[-7.04450317e+02  7.18297806e+01 -1.12739077e+01  1.21501865e+01
 -2.53373075e+00 -3.13741386e-01 -2.51354923e+01 -6.55190325e+00
 -8.35546875e+00  9.29099274e+00 -1.05101576e+01 -1.52642465e+00
 -8.40579128e+00 -2.22508665e-02 -8.06333637e+00  2.01173353e+00
 -4.31621122e+00 -1.98098767e+00 -3.44621348e+00 -5.50154066e+00
 -1.16451478e+00 -9.20850337e-01 -4.29562330e+00 -9.31585193e-01
 -5.10294533e+00 -1.87425518e+00 -2.70922780e+00  6.86507583e-01
  1.15860593e+00  6.52496958e+00  4.80143356e+00  9.95727158e+00
  9.24760151e+00  1.06551075e+01  9.73755360e+00  1.11291513e+01
  9.76951885e+00  9.62267780e+00  7.07658625e+00  5.16913843e+00]",2.0
9,"[-7.0262091e+02  5.8450153e+01 -1.5657593e+01  1.7576572e+01
 -1.2440000e+00 -6.2525797e+00 -1.9882130e+01 -5.3335571e+00
 -4.3080359e+00  2.1502178e+00 -8.5072460e+00 -8.3893768e-02
 -8.9917707e+00  1.9077514e-01 -5.7629714e+00 -1.2457635e+00
 -9.0307446e+00 -3.7863266e+00 -3.6766665e+00 -6.9473686e+00
 -3.0492015e+00 -3.6993005e+00 -4.5446181e+00  1.6689576e-02
 -3.0466921e+00  1.8178869e+00  2.0719366e+00  4.1389403e+00
  3.0021700e-01  3.0809708e+00  3.7138531e-01  5.6844597e+00
  6.3437939e+00  9.5285845e+00  8.1505957e+00  6.7314754e+00
  6.6794519e+00  6.8398557e+00  8.6615515e+00  6.0307002e+00]",2.0
