,0
0,"[array([-7.0039893e+02,  5.8630211e+01, -3.0258520e+00,  1.6040241e+01,
        4.2485294e+00,  3.8699346e+00, -6.3817163e+00, -1.8863516e-01,
       -1.3735003e+01, -3.1972399e-01, -1.4757472e+00, -9.8867565e-01,
        1.5016654e-01, -2.1724675e+00, -8.8929677e-01,  1.8827366e+00,
       -4.9570904e+00, -1.1768672e+00, -1.8201362e+00, -5.9608334e-01,
       -6.1165891e+00, -4.7533530e-01, -2.2442935e+00, -4.7243533e+00,
       -1.3839182e+00, -1.1956730e+00, -4.4132261e+00, -2.4823284e-01,
       -1.5963906e+00, -4.4708231e-01, -1.4113586e+00, -2.7697721e+00,
       -2.0420089e+00, -2.5226629e+00, -2.5074484e+00, -2.2504990e+00,
       -3.8150665e-01, -2.4810593e+00, -2.7910225e+00, -2.2448654e+00],
      dtype=float32), 2, 'calm']"
1,"[array([-6.5316901e+02,  5.8028076e+01, -1.2581207e+01,  1.1818786e+01,
       -7.6815619e+00, -6.1714166e-01, -8.3377581e+00, -5.8235703e+00,
       -6.5475917e+00,  1.4580572e+00, -6.8461947e+00, -1.0715543e-01,
       -6.7153921e+00,  1.5689481e+00, -8.0570774e+00, -1.0736974e+00,
       -3.5579069e+00, -1.4181045e+00, -1.9036748e+00, -3.9359668e-01,
       -4.2376232e-01, -1.0545425e+00, -4.9363992e-01,  7.5713229e-01,
       -7.2462064e-01, -2.5205786e+00,  5.5066955e-01, -1.1144994e+00,
        2.1613464e+00,  6.0463983e-01,  7.8876090e-01,  2.5704930e+00,
        2.5586336e+00,  3.7085059e+00,  2.7900200e+00,  2.2019198e+00,
       -1.0214565e+00,  8.1920063e-01, -2.7781087e-01,  2.0758615e-01],
      dtype=float32), 2, 'calm']"
2,"[array([-6.1705231e+02,  6.0103371e+01, -5.9842582e+00,  1.3886285e+01,
        1.1204271e+00,  5.1174986e-01, -1.4841358e+01, -4.0163693e+00,
       -5.5758390e+00, -6.3098507e+00, -3.9435811e+00, -8.3037174e-01,
       -6.5325298e+00,  5.1393682e-01, -7.0832944e+00, -7.7906817e-01,
       -5.4147921e+00, -2.2986979e+00, -2.3708682e+00, -4.7227702e+00,
       -4.3090816e+00, -4.5600734e+00, -3.8819711e+00, -3.0730054e+00,
       -4.0399814e+00, -8.6638719e-01, -2.2581463e+00, -1.9237098e+00,
       -2.2567461e+00, -1.8112168e+00, -1.1333668e+00, -2.0198462e+00,
       -1.0247859e+00,  3.3109638e-01,  5.3183341e-01, -1.6210188e+00,
       -2.1580772e+00, -2.5027742e+00, -6.7613316e-01,  2.0890973e+00],
      dtype=float32), 2, 'calm']"
3,"[array([-6.9872113e+02,  4.7088486e+01, -1.1333612e+01,  1.2963088e+01,
       -8.0056515e+00, -1.2522295e+00, -1.0009068e+01, -9.4341249e+00,
       -1.0318875e+01, -8.6467427e-01, -5.7316113e+00, -4.8904462e+00,
       -6.4700851e+00,  2.0584869e+00, -7.9361510e+00, -2.3021777e+00,
       -2.4253900e+00, -1.8635954e-01, -1.2097834e+00,  4.6492391e+00,
       -1.5802653e+00,  1.0472705e+00, -5.6964521e+00, -2.5016592e+00,
       -1.7457354e+00, -3.0121180e-01,  4.3989539e-01,  2.9438710e+00,
        2.0257814e+00,  2.7908428e+00, -2.9930580e-01, -4.2700865e-03,
       -1.4082148e+00,  9.5817226e-01,  2.5746613e+00,  1.8777641e+00,
        1.6086183e+00,  2.2240064e-01,  4.3385239e+00,  4.2667947e+00],
      dtype=float32), 2, 'calm']"
4,"[array([-7.1592261e+02,  7.1976799e+01,  4.4575248e+00,  1.8602499e+01,
        8.4040461e+00,  3.6219542e+00, -1.9743649e+00,  2.2672800e-02,
       -2.6780834e+00,  4.2328029e+00,  3.3525458e-01,  3.3916814e+00,
       -1.7836781e+00,  2.5398903e+00, -6.3400203e-01,  4.8014526e+00,
       -2.9183261e+00,  3.3488636e+00,  5.2993101e-01,  1.1520108e+00,
       -6.5785688e-01,  1.6572123e+00, -1.6180809e+00,  3.6534247e-01,
        6.8740599e-02, -1.3017633e+00,  4.5597136e-01,  5.2537751e-01,
        1.3790911e+00, -6.3391966e-01,  5.0569683e-01,  4.2478028e-01,
        9.7209746e-01,  2.1000408e-01,  6.6776890e-01,  1.9189563e+00,
        1.7454293e-01, -1.7684625e+00, -1.5122801e+00, -2.5327948e-01],
      dtype=float32), 2, 'calm']"
5,"[array([-7.3944086e+02,  5.5755424e+01, -2.3246590e+01,  1.3280397e+01,
       -3.8380213e+00, -5.9572253e+00, -1.2653000e+01, -6.2147064e+00,
       -1.0689209e+01,  3.3984542e+00, -9.0876198e+00, -9.8329014e-01,
       -9.4575329e+00, -2.8407993e+00, -8.7722931e+00, -1.7548518e+00,
       -5.6825156e+00, -3.2596974e+00, -5.8017030e+00, -7.5317621e+00,
       -1.1108117e+00,  1.4569213e+00,  7.4560970e-01,  1.8028361e+00,
       -2.9221642e-01,  6.3524175e-01, -6.0635227e-01,  1.3727438e+00,
        3.9744787e+00,  6.2548480e+00,  4.5833554e+00,  5.9357991e+00,
        4.2069368e+00,  5.3632421e+00,  4.3323765e+00,  3.6675305e+00,
        1.5503188e+00, -5.5875045e-01,  1.7370086e+00,  3.2532904e+00],
      dtype=float32), 2, 'calm']"
6,"[array([-6.5398254e+02,  7.7230156e+01,  1.0743141e+00,  2.3132708e+01,
        5.0290294e+00,  2.5618536e+00, -1.0727558e+01, -3.2950554e+00,
       -1.8697385e+00, -4.6344134e-01, -6.7488270e+00,  1.9926074e+00,
       -2.3817115e-01, -2.9271655e+00, -2.1037326e+00,  2.5161061e+00,
       -7.8947477e+00,  1.9314554e+00, -4.0011716e+00, -7.0936412e-01,
       -6.8747616e+00,  1.7875446e-01, -3.5920713e+00, -3.0818343e+00,
       -2.5390122e+00, -1.0360587e-01, -2.4946883e+00,  3.7728339e-01,
       -3.5893164e+00, -1.3635471e+00, -4.2852011e+00, -3.9193296e-01,
       -1.6831850e+00, -1.3586847e+00, -2.2814331e+00, -3.1522918e+00,
       -5.2203851e+00, -3.4693351e+00, -1.6967243e+00, -3.4236389e-01],
      dtype=float32), 2, 'calm']"
7,"[array([-6.9239349e+02,  6.8048347e+01,  3.8574259e+00,  2.6590946e+01,
        2.5983219e+00,  6.6676702e+00,  1.6408712e+00, -4.9395418e+00,
       -1.0043892e+00,  1.7926563e+00, -8.9369392e-01, -9.6793240e-01,
       -1.8632292e+00,  5.3969297e+00, -3.6364868e+00,  2.2652895e+00,
       -1.5397470e+00,  4.2876315e+00, -7.0958114e-01,  3.7765946e+00,
       -2.1132829e+00,  3.5565267e+00, -1.6944165e+00,  2.9777851e+00,
        4.4977382e-01,  2.4229550e+00,  3.1149869e+00,  2.6847508e+00,
        2.9747484e+00,  1.9215490e+00,  1.5136852e+00,  1.5245774e+00,
        2.9850404e+00,  5.6057444e+00,  5.8969140e+00,  5.1547704e+00,
        4.1430326e+00,  5.6282887e+00,  4.9127817e+00,  4.3139000e+00],
      dtype=float32), 2, 'calm']"
8,"[array([-7.4135400e+02,  9.6758141e+01,  1.6994427e+01,  3.7401852e+01,
        1.7461664e+01,  1.4264805e+01,  1.0343188e+00,  9.7900457e+00,
        3.4339278e+00,  9.8974991e+00, -2.8512492e+00,  1.0925617e+01,
        4.2663584e+00,  4.8922129e+00,  3.8502209e+00,  4.0906782e+00,
        4.4503593e+00,  5.4873071e+00, -7.3024929e-01,  7.6318288e+00,
        2.6655140e+00,  1.7119476e+00, -1.5222034e+00,  2.1531751e+00,
        9.7315645e-01,  2.3810658e+00,  1.8070462e+00,  1.2462502e-01,
        2.2392747e+00,  8.1618065e-01,  1.5753938e+00,  2.1352754e+00,
        1.0800444e+00,  7.7568166e-02,  1.9540167e+00,  9.2491472e-01,
       -3.4283805e-01, -1.0290333e+00, -1.7410403e+00, -3.3923405e-01],
      dtype=float32), 2, 'calm']"
9,"[array([-5.7443091e+02,  5.6297729e+01, -3.9952476e+00,  9.3072205e+00,
        6.6065073e-01,  7.2285604e-01, -1.0766331e+01, -3.8910487e+00,
       -7.4947748e+00,  1.9726405e+00, -9.1439581e+00, -5.4443574e-01,
       -2.5083072e+00, -2.3263698e+00, -2.4845054e+00,  1.5543861e+00,
       -3.4442418e+00, -2.4387348e+00, -3.2754141e-01, -3.8468633e+00,
       -3.8709955e+00, -5.8900172e-01, -3.7394795e+00,  2.0041838e+00,
       -3.1637871e+00,  4.2074599e+00, -9.0712047e-01,  6.7235451e+00,
        2.4201846e+00,  3.3024127e+00,  3.4340522e+00,  3.1645007e+00,
        5.6054592e+00,  3.3721600e+00,  5.9650450e+00,  2.5429451e+00,
        2.3801761e+00,  1.8919314e+00,  1.2444450e+00,  3.5898550e+00],
      dtype=float32), 2, 'calm']"
